tag	written_at	group	arm	system	dataset	level	trajectory_index	n_steps	max_depth	n_repeats	goal_relevance	goal_relevance_scores	goal_relevance_reason	information_gain	information_gain_scores	information_gain_reason	interestingness	interestingness_scores	interestingness_reason	trustworthiness	trustworthiness_scores	trustworthiness_reason	actionability	actionability_scores	actionability_reason	resolution	resolution_scores	resolution_reason
systems	2026-07-31T13:42:33	systems	quis	quis	qrobur_tree_table	level_2	3	3	2	3	1.333	1,2,1	The observations focus on values in the 'tree' column and mention SNP-related columns, but they do not address patterns of SNP density or sequencing coverage in genomic windows or chromosome positions.	1.000	1,1,1	The trajectory does not form a clear question-and-answer sequence. Observations mention values but do not build on each other or provide new understanding.	1.000	1,1,1	The findings are based on outstanding values within 'tree' records and do not identify insights related to SNP patterns or sequencing coverage, making them routine and uninformative.	5.000	5,5,5	Assigned, not judged: every QUIS statement is the direct rendering of a statistic computed by SQL aggregation over the stated subspace, so it holds of the data by construction. QUIS records no claim-level evidence for an evidence-grounded rubric to weigh, so scoring it against one would measure its output format, not its claims.	1.000	1,1,1	No clear actionable direction or hypothesis is presented. Observations focus on numerical values without suggesting next analytical steps or decisions.	1.000	1,1,1	The trajectory does not resolve the initial insight or address uncertainty about SNP density or sequencing coverage; it remains disconnected from the analytical goal.
systems	2026-07-31T13:42:33	systems	quis	quis	qrobur_tree_table	level_2	4	2	1	3	1.000	1,1,1	The trajectory is not focused on SNP density or sequencing coverage patterns across genomic windows, as it mainly describes tree values without clear relevance to the analytical goal.	1.000	1,1,1	Both observations fail to build on each other or offer meaningful insights into the dataset's structure; they focus on unrelated patterns.	1.000	1,1,1	The observations are neither surprising nor informative about SNP density or sequencing coverage; they restate system patterns without actionable context.	5.000	5,5,5	Assigned, not judged: every QUIS statement is the direct rendering of a statistic computed by SQL aggregation over the stated subspace, so it holds of the data by construction. QUIS records no claim-level evidence for an evidence-grounded rubric to weigh, so scoring it against one would measure its output format, not its claims.	1.000	1,1,1	The trajectory lacks a concrete analytical direction or hypothesis relevant to the goal, offering no clear next steps.	1.000	1,1,1	The initial observation is not resolved; subsequent steps do not address the uncertainties introduced by the base insight, which itself is unrelated to the goal.
systems	2026-07-31T13:42:33	systems	quis	quis	revenue_opportunities	level_2	0	4	3	3	2.000	2,2,2	The trajectory starts off relevant by focusing on opportunity size and revenue, which is part of the intended analysis. However, it quickly narrows excessively, leaving out several other aspects like different regions, sales stages, and partner status.	1.333	1,2,1	Each step repeats the claim without additional evidence or new insights. Observations restate the same finding for progressively narrower slices without resolving further questions or providing new understanding.	1.333	1,1,2	The finding about 'Large' opportunity size dominating in revenue is neither novel nor unexpected. Each step repeats the finding for different subspaces, offering little of analytical surprise or depth.	5.000	5,5,5	Assigned, not judged: every QUIS statement is the direct rendering of a statistic computed by SQL aggregation over the stated subspace, so it holds of the data by construction. QUIS records no claim-level evidence for an evidence-grounded rubric to weigh, so scoring it against one would measure its output format, not its claims.	1.667	2,2,1	While the trajectory identifies a consistent high revenue from 'Large' opportunities, it fails to suggest any specific next steps for further analysis or decision-making.	1.333	1,2,1	The trajectory repeats the initial observation in slightly different contexts without addressing the reasons or broader scope of the initial finding. It leaves the base observation largely unexplained and unresolved.
systems	2026-07-31T13:42:33	systems	quis	quis	revenue_opportunities	level_2	1	3	2	3	2.000	2,2,2	The trajectory loosely relates to the goal by focusing on sales_stage and revenue, touching briefly on partner-driven sales and a specific account. However, it does not explore regions, segments, opportunity sizes, or partner statuses in a meaningful way, leaving much of the goal unexplored.	1.000	1,1,1	The steps are repetitive, each making similar statements about 'Lead' at different granular levels with no additional insights or refinement beyond the initial claim, providing very low marginal improvement.	2.000	2,2,2	While the finding that 'Lead' stage has a large revenue might initially seem interesting, it becomes obvious through repetition and does not uncover non-obvious insights or deepen understanding of the sales pipeline.	5.000	5,5,5	Assigned, not judged: every QUIS statement is the direct rendering of a statistic computed by SQL aggregation over the stated subspace, so it holds of the data by construction. QUIS records no claim-level evidence for an evidence-grounded rubric to weigh, so scoring it against one would measure its output format, not its claims.	1.333	1,2,1	The trajectory is purely descriptive without suggesting next steps, analyses, or decisions. It lacks directionality and does not lead towards an actionable conclusion.	1.000	1,1,1	The base insight about the 'Lead' stage's revenue is neither explained nor localized. The trajectory restates this observation at narrower slices without resolving why 'Lead' is significant or its impact on the sales pipeline, leaving core questions unanswered.
systems	2026-07-31T13:42:33	systems	quis	quis	revenue_opportunities	level_2	2	3	2	3	1.667	2,1,2	The trajectory focuses on the 'Direct' partner but does not explore other relevant dimensions such as region, segment, or opportunity size beyond 'Small'. This offers limited insight into the overall sales pipeline shape.	2.000	2,2,2	Each observation repeats the finding that 'Direct' is dominant within progressively narrower subspaces. This pattern is confirmed but not expanded with new insights or resolved questions.	1.667	1,2,2	The findings reiterate that 'Direct' has a large count, which is routine given the profile's top value distribution. It lacks surprising or non-obvious insights.	5.000	5,5,5	Assigned, not judged: every QUIS statement is the direct rendering of a statistic computed by SQL aggregation over the stated subspace, so it holds of the data by construction. QUIS records no claim-level evidence for an evidence-grounded rubric to weigh, so scoring it against one would measure its output format, not its claims.	1.000	1,1,1	The trajectory remains descriptive without suggesting specific follow-up analyses, decisions, or hypotheses. It lacks a coherent analytical thread leading to actionable outcomes.	1.333	2,1,1	The later steps confirm 'Direct's dominance in specific subspaces but do not substantially resolve uncertainties about the overall pipeline or dynamics beyond what was initially stated.
systems	2026-07-31T13:42:33	systems	quis	quis	revenue_opportunities	level_2	3	3	2	3	2.000	2,2,2	The trajectory examines 'sales_stage', which is part of the goal, but it lacks coverage of other key aspects like region, segment, and partner status. It partially addresses the goal but remains too narrow.	1.667	2,2,1	Each step claims 'Lead' dominates in specific subspaces without resolving broader uncertainties about the sales pipeline. Minimal progression and repetitive focus on similar observations.	2.000	2,2,2	Finding that 'Lead' dominates in 'sales_stage' is not surprising given the dataset profile. The steps lack unexpected insights or deep analytical contributions.	5.000	5,5,5	Assigned, not judged: every QUIS statement is the direct rendering of a statistic computed by SQL aggregation over the stated subspace, so it holds of the data by construction. QUIS records no claim-level evidence for an evidence-grounded rubric to weigh, so scoring it against one would measure its output format, not its claims.	1.000	1,1,1	No concrete follow-up actions or specific analytical steps are indicated. The trajectory is descriptive without suggesting a direction for further exploration or decision-making.	1.000	1,1,1	Fails to resolve any significant uncertainties introduced in the base insight. It does not explain why 'Lead' is dominant or contextualize the observation within the broader sales pipeline.
systems	2026-07-31T13:42:33	systems	quis	quis	revenue_opportunities	level_2	4	4	3	3	2.333	2,3,2	The trajectory mentions relevant columns (opportunity size, partner status), but provides minimal insight into the sales pipeline's size and shape across all stated dimensions. The narrow focus on 'Large' opportunity size limits broader understanding.	1.333	1,2,1	Observations repeat the same statement about 'Large' opportunity size without resolving any new uncertainty. Increased specificity does not change the conclusion or add new understanding.	1.667	1,2,2	The trajectory reveals predictable dominance of 'Large' opportunity size. Without evidence or unexpected findings, the insights remain routine and expected.	5.000	5,5,5	Assigned, not judged: every QUIS statement is the direct rendering of a statistic computed by SQL aggregation over the stated subspace, so it holds of the data by construction. QUIS records no claim-level evidence for an evidence-grounded rubric to weigh, so scoring it against one would measure its output format, not its claims.	1.333	1,2,1	The trajectory simply restates a dominance observation without actionable steps or directions for deeper exploration or decision-making.	1.333	1,2,1	There is no resolution of initial insight's questions, such as why 'Large' dominates or its implications. The trajectory fails to explain or contextualize the observation.
systems	2026-07-31T13:42:33	systems	quis	quis	salesfact	level_2	0	3	2	3	1.000	1,1,1	The trajectory focuses exclusively on the 'Urban' category's unit sum without addressing the broader goal of revenue and market share analysis across relevant dimensions.	1.000	1,1,1	Each step is repetitive, specifying the same claim about 'Urban' with different subspaces but not fundamentally altering or deepening understanding.	1.667	2,2,1	The finding that 'Urban' has a large unit sum could be of mild interest but lacks context or non-obvious insights related to the broad analytical goal.	5.000	5,5,5	Assigned, not judged: every QUIS statement is the direct rendering of a statistic computed by SQL aggregation over the stated subspace, so it holds of the data by construction. QUIS records no claim-level evidence for an evidence-grounded rubric to weigh, so scoring it against one would measure its output format, not its claims.	1.000	1,1,1	The trajectory remains descriptive and does not offer concrete next steps or hypotheses for further analysis aligned with the goal of understanding revenue and market share.	1.333	2,1,1	Attempts to contextualize the base insight by focusing on subspaces, but it does not resolve questions about why or how this is significant beyond numbers.
systems	2026-07-31T13:42:33	systems	quis	quis	salesfact	level_2	1	2	1	3	1.000	1,1,1	The trajectory does not align with the goal of exploring revenue and market share across different attributes. Instead, it focuses on the mean value of the 'isvanarsdel' attribute within the 'Urban' category, which is unrelated to the analytical goal.	1.667	2,1,2	The trajectory offers a repetition of the same observation ('Urban' category having a large MEAN) under different conditions, adding limited new understanding.	1.333	2,1,1	The finding that 'Urban' has a large MEAN(isvanarsdel) is mildly informative but largely unrelated to the core analytical focus of revenue and market share.	5.000	5,5,5	Assigned, not judged: every QUIS statement is the direct rendering of a statistic computed by SQL aggregation over the stated subspace, so it holds of the data by construction. QUIS records no claim-level evidence for an evidence-grounded rubric to weigh, so scoring it against one would measure its output format, not its claims.	1.000	1,1,1	The observations do not suggest a concrete next step, analysis, or decision relevant to exploring revenue and market share.	1.000	1,1,1	The trajectory does not address the unresolved questions from the base insight regarding other categories or the implications on revenue and market share.
systems	2026-07-31T13:42:33	systems	quis	quis	salesfact	level_2	2	4	3	3	1.000	1,1,1	The trajectory remains focused on the category 'Urban', which is not directly related to revenue, market share, or time trends as the goal specifies.	1.000	1,1,1	Each step simply reiterates the finding of 'Urban' being outstanding, without resolving any new questions or uncertainties from prior steps.	1.000	1,1,1	The consistent observation of 'Urban' having high counts is unsurprising given its dominance in the dataset profile, making the sequence of statements routine and uninformative.	5.000	5,5,5	Assigned, not judged: every QUIS statement is the direct rendering of a statistic computed by SQL aggregation over the stated subspace, so it holds of the data by construction. QUIS records no claim-level evidence for an evidence-grounded rubric to weigh, so scoring it against one would measure its output format, not its claims.	1.000	1,1,1	The trajectory does not suggest any concrete next steps or analyses, as it repeatedly states the same descriptive finding.	1.000	1,1,1	The trajectory fails to resolve the initial observation's uncertainty, as it only narrows the scope to the same finding without explanation, validation, or contextualization.
systems	2026-07-31T13:42:33	systems	quis	quis	salesfact	level_2	3	4	3	3	1.000	1,1,1	The trajectory focuses exclusively on the 'Urban' category without addressing revenue or market share across manufacturer, channel, region, or segment.	1.000	1,1,1	Each observation repeats the same finding in progressively narrower subspaces without resolving any new questions or uncertainty.	1.000	1,1,1	The finding that 'Urban' is the largest category is obvious and aligns with the dataset profile, offering no new or non-obvious insights.	5.000	5,5,5	Assigned, not judged: every QUIS statement is the direct rendering of a statistic computed by SQL aggregation over the stated subspace, so it holds of the data by construction. QUIS records no claim-level evidence for an evidence-grounded rubric to weigh, so scoring it against one would measure its output format, not its claims.	1.000	1,1,1	The trajectory is purely descriptive, providing no suggested next steps, decisions, or hypotheses for further analysis.	1.000	1,1,1	No uncertainty about the base insight is resolved beyond restating the size of 'Urban'; the trajectory remains static and non-analytical.
systems	2026-07-31T13:42:33	systems	quis	quis	salesfact	level_2	4	4	3	3	1.000	1,1,1	The trajectory focuses on 'Urban' count dominance repeatedly, which does not address the specified exploration of revenue, market share, or any temporal or geographic trends specified in the goal.	1.000	1,1,1	The observations simply reiterate the dominance of 'Urban' in smaller slices without resolving any new uncertainties or providing deeper insights.	1.000	1,1,1	The repeated observation of 'Urban' being dominant is predictable from the dataset profile and does not uncover any non-obvious or insightful findings.	5.000	5,5,5	Assigned, not judged: every QUIS statement is the direct rendering of a statistic computed by SQL aggregation over the stated subspace, so it holds of the data by construction. QUIS records no claim-level evidence for an evidence-grounded rubric to weigh, so scoring it against one would measure its output format, not its claims.	1.000	1,1,1	The observations do not converge on any actionable hypothesis or suggest a concrete next analytical step aside from the recognized dominance of 'Urban.'	1.000	1,1,1	The trajectory provides no new understanding or clarification related to the initial observation beyond what is evident from the dataset profile.
